组别,movie_id,片名,年份,豆瓣评分,评价人数,类型,Decade,语言字段原文,归一化语言,命中方言标签,方言大区,Tier层级,方言占比（推断）,占比推断依据,来源URL
方言片,1298061,跳灰,1976,6.6,192,动作 / 犯罪 / 惊悚,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1298061/
方言片,1463201,香港奇案,1976,6.1,967,剧情 / 犯罪,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1463201/
方言片,1796292,香港奇案之二：凶杀,1976,6.6,720,犯罪 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1796292/
方言片,5294268,鬼胎,1976,6.1,208,剧情 / 恐怖,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/5294268/
方言片,1304951,三德和尚与舂米六,1977,6.2,1732,动作,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1304951/
方言片,1302454,乾隆下江南,1977,7.4,1549,喜剧 / 历史 / 古装,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1302454/
方言片,1297325,发钱寒,1977,6.8,1410,动作 / 喜剧 / 犯罪,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1297325/
方言片,2054498,李三脚威震地狱门,1977,6.1,342,动作 / 喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2054498/
方言片,5244084,狮子山下 野孩子,1977,8.3,138,剧情 / 儿童 / 短片,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/5244084/
方言片,2981478,生死搏斗,1977,7.0,172,剧情 / 动作 / 科幻,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2981478/
