movie_id,语言,fetched_at,http_status,source
27093500,法语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27098602,汉语普通话,2026-08-30T05:27:09.729867+00:00,200,douban_rexxar
27102476,汉语普通话 / 英语 / 葡萄牙语,2026-08-30T04:38:13.503701+00:00,200,douban_rexxar
27108896,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27115004,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27121248,英语 / 汉语普通话 / 粤语,2026-08-30T04:38:14.395334+00:00,200,douban_rexxar
27124695,日語 / 粵語 / 日语 / 粤语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27162493,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27162630,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27177908,英語 / 日語 / 英语 / 日语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27191370,汉语普通话,2026-08-30T05:27:11.081686+00:00,200,douban_rexxar
27199850,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27199894,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27200859,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27201437,印地語 / Hindi,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27203644,法语 / 英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27204009,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27305997,四川乐山话,2026-08-30T05:27:12.355540+00:00,200,douban_rexxar
27594653,汉语普通话,2026-08-30T05:27:13.817885+00:00,200,douban_rexxar
27601044,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27601500,朝鮮語 / 韩语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27605105,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27605563,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27611372,印地語 / Hindi,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27624770,汉语普通话,2026-08-30T05:27:15.170598+00:00,200,douban_rexxar
27662747,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
28510051,中文 / 汉语普通话,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
29984000,汉语普通话 / Putonghua,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
3001114,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
3010409,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
3011317,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
30122623,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
30122648,汉语普通话,2026-08-30T05:27:16.509730+00:00,200,douban_rexxar
30137576,西班牙語 / 英語 / 西班牙语 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
30142421,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
30143331,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
30144224,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
30149834,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
