movie_id,片名,年份,Region,语言,数据来源,来源URL,reason
36779927,年轻母亲之家,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36779927/,delivery_empty
36781071,i人质危机,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36781071/,delivery_empty
36787731,万物生灵：2025圣诞特别集,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36787731/,delivery_empty
36795366,猛虎末路,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36795366/,delivery_empty
36799751,旧时光景,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36799751/,delivery_empty
36801327,胡夫的秘密,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36801327/,delivery_empty
36809537,杜塞,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36809537/,delivery_empty
36821191,阿里,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36821191/,delivery_empty
36821362,风中的洛朗,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36821362/,delivery_empty
36821411,陨石,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36821411/,delivery_empty
36821452,尼诺,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36821452/,delivery_empty
36827697,砖墙谜攻,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36827697/,delivery_empty
36828836,合唱团,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36828836/,delivery_empty
36828971,想象一下,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36828971/,delivery_empty
36833084,玫瑰,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36833084/,delivery_empty
36841068,德古拉,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36841068/,delivery_empty
36841435,最后一轮谈判,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36841435/,delivery_empty
36848001,BJ单身日记4,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36848001/,delivery_empty
36850049,永生战士2,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36850049/,delivery_empty
36851142,小人物之歌,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36851142/,delivery_empty
36857150,她行走于黑暗中,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36857150/,delivery_empty
36858757,救命行动,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36858757/,delivery_empty
36860441,妥瑞氏与我,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36860441/,delivery_empty
36872906,黎明杀祭,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36872906/,delivery_empty
36872972,恩佐,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36872972/,delivery_empty
36877209,镜的第三乐章,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36877209/,delivery_empty
36877556,阿尔法,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36877556/,delivery_empty
36879454,街头顽童,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36879454/,delivery_empty
36883058,木匠之子,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36883058/,delivery_empty
36885941,后座,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36885941/,delivery_empty
