movie_id,片名,年份,导演,制片国家/地区,语言,豆瓣评分,评价人数,score,hits,verdict,benchmark,来源URL
1828115,色，戒,2007,李安,中国台湾 / 中国大陆 / 美国 / 中国香港,汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,8.5,628211,3,E1,auto_recover,0,https://movie.douban.com/subject/1828115/
2995945,蝴蝶,2008,张作骥,中国台湾,汉语普通话 / 闽南语 / 日语,6.8,1262,3,E2+E4,auto_recover,0,https://movie.douban.com/subject/2995945/
3805953,不能没有你,2009,戴立忍,中国台湾,汉语普通话 / 闽南语 / 客家话,8.3,31286,3,E1,auto_recover,0,https://movie.douban.com/subject/3805953/
3053521,二十四城记,2009,贾樟柯,中国大陆 / 中国香港 / 日本,汉语普通话 / 四川话 / 上海话 / 东北话,7.4,37433,3,E1,auto_recover,0,https://movie.douban.com/subject/3053521/
2209368,新宿事件,2009,尔冬升,中国香港,汉语普通话 / 日语 / 粤语 / 英语 / 闽南语,7.5,121245,3,E1,auto_recover,0,https://movie.douban.com/subject/2209368/
3158990,海角七号,2009,魏德圣,中国台湾,汉语普通话 / 闽南语 / 日语 / 英语,7.6,237540,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/3158990/
2124703,疯狂的赛车,2009,宁浩,中国大陆,汉语普通话 / 青岛话 / 闽南语 / 陕西话 / 武汉话 / 四川话,8.2,316848,3,E1,gray_zone,1,https://movie.douban.com/subject/2124703/
4066206,全城热恋,2010,夏永康 / 陈国辉,中国香港 / 美国 / 中国大陆,汉语普通话 / 粤语 / 上海话 / 英语,6.2,243512,3,E1,auto_recover,0,https://movie.douban.com/subject/4066206/
3768185,海上传奇,2010,贾樟柯,中国大陆,汉语普通话 / 上海话 / 闽南语 / 粤语 / 英语,7.4,21518,3,E1,auto_recover,0,https://movie.douban.com/subject/3768185/
4022126,玩酷青春,2010,孔令晨,中国大陆,汉语普通话 / 日语 / 北京话 / 东北话,6.4,2718,3,E1,auto_recover,0,https://movie.douban.com/subject/4022126/
4290915,纺织姑娘,2010,王全安,中国大陆,汉语普通话 / 陕西话 / 北京话,7.3,3652,3,E1,auto_recover,0,https://movie.douban.com/subject/4290915/
900072,让子弹飞,2010,姜文 Wen Jiang,中国大陆 / 香港,汉语普通话 / 四川话 / 山西话,8.7,1438181,3,E1,gray_zone,1,https://movie.douban.com/subject/3742360/
6432144,余光之下,2011,邓伯超,中国大陆,汉语普通话 / 客家话,7.1,153,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/6432144/
5993189,回声,2011,赵正平,中国台湾,汉语普通话 / 日语 / 閩南語 / 客家話,7.1,177,3,E1,auto_recover,0,https://movie.douban.com/subject/5993189/
4942776,武侠,2011,陈可辛,中国香港 / 中国大陆,汉语普通话 / 粤语 / 四川话,6.7,149364,3,E1,auto_recover,0,https://movie.douban.com/subject/4942776/
6519580,老家新家,2011,方刚亮,中国大陆,汉语普通话 / 四川话 / 山东话,7.4,466,3,E1,auto_recover,0,https://movie.douban.com/subject/6519580/
11510453,不老骑士：欧兜迈环台日记,2012,华天灏,中国台湾,汉语普通话 / 闽南语,8.9,6038,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/11510453/
20433191,南京爱情故事：我们的那些年,2012,金锋,中国大陆,汉语普通话 / 南京话 Nankinese,7.4,364,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/20433191/
5942150,喜酒,2012,伊卫军,中国大陆,汉语普通话 / 四川话 / 东北话 / 河南话,3.1,333,3,E1,auto_recover,0,https://movie.douban.com/subject/5942150/
6901135,宝马狂想曲,2012,李麒麟,中国大陆,汉语普通话 / 粤语 / 重庆话,3.7,1476,3,E1,auto_recover,0,https://movie.douban.com/subject/6901135/
24722816,候鸟,2013,陈橙,中国大陆,汉语普通话 / 湘潭话 / 武汉话,6.8,109,3,E1,auto_recover,0,https://movie.douban.com/subject/24722816/
3804891,无人区,2013,宁浩,中国大陆,汉语普通话 / 陕西方言 / 甘肃方言,8.3,468826,3,E1,auto_recover,0,https://movie.douban.com/subject/3804891/
25733522,自行车与旧电钢,2013,邵攀,中国大陆,汉语普通话 / 徐州方言,8.5,3449,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/25733522/
11599147,逗阵儿,2013,卢金城,中国台湾,汉语普通话 / 闽南语 / 客家话 / 原住民语,8.2,4351,3,E1,auto_recover,0,https://movie.douban.com/subject/11599147/
6126442,一步之遥,2014,姜文,中国大陆 / 美国 / 中国香港,汉语普通话 / 英语 / 上海话 / 法语 / 日语 / 满语 / 越南语 / 拉丁语,6.6,283593,3,E1,auto_recover,0,https://movie.douban.com/subject/6126442/
25713408,一生一世,2014,邹佡,中国大陆 / 中国香港,汉语普通话 / 英语 / 粤语 / 上海话,5.3,101454,3,E1,auto_recover,0,https://movie.douban.com/subject/25713408/
25798222,亲爱的,2014,陈可辛,中国大陆 / 中国香港,汉语普通话 / 安徽方言 / 粤语 / 陕西方言,8.4,463240,3,E1,gray_zone,1,https://movie.douban.com/subject/25798222/
3078390,太平轮(上),2014,吴宇森,中国大陆 / 中国香港,汉语普通话 / 日语 / 闽南语 / 上海话,6.0,92132,3,E1,auto_recover,0,https://movie.douban.com/subject/3078390/
25717233,心花路放,2014,宁浩,中国大陆,汉语普通话 / 粤语 / 云南方言,7.2,480573,3,E1,gray_zone,1,https://movie.douban.com/subject/25717233/
25861611,禁止吸烟,2014,吴刚 / 董新文,中国大陆,汉语普通话 / 新疆方言 / 陕西方言,6.4,501,3,E1,auto_recover,0,https://movie.douban.com/subject/25861611/
10545939,黄金时代,2014,许鞍华,中国大陆 / 中国香港,汉语普通话 / 粤语 / 上海话 / 武汉话 / 四川话 / 俄语 / 日语,7.3,166138,3,E1,auto_recover,0,https://movie.douban.com/subject/10545939/
25926267,一个勺子,2015,陈建斌,中国大陆,汉语普通话 / 西北方言 / 重庆话,7.7,152800,3,E1,auto_recover,0,https://movie.douban.com/subject/25926267/
25811357,冲锋车,2015,刘浩良,中国香港 / 中国大陆,汉语普通话 / 粤语 / 马来语 / 英语 / 闽南语,6.6,37642,3,E1,auto_recover,0,https://movie.douban.com/subject/25811357/
26280561,大喜临门,2015,黄朝亮,中国台湾 / 中国大陆,汉语普通话 / 闽南语,5.4,3463,3,E2+E4,auto_recover,0,https://movie.douban.com/subject/26280561/
25956520,太平轮(下)·彼岸,2015,吴宇森,中国大陆 / 中国香港,汉语普通话 / 日语 / 闽南语 / 上海话,6.6,62165,3,E1,auto_recover,0,https://movie.douban.com/subject/25956520/
25746375,我是路人甲,2015,尔冬升,中国大陆 / 中国香港,汉语普通话 / 粤语 / 浙江方言,7.1,138174,3,E1,auto_recover,0,https://movie.douban.com/subject/25746375/
26607132,梦开始的地方,2015,苏磊,中国大陆,汉语普通话 / 维吾尔语 / 哈萨克语,5.8,126,3,E1,auto_recover,0,https://movie.douban.com/subject/26607132/
25837175,谜城,2015,林岭东,中国大陆 / 中国香港,汉语普通话 / 粤语 / 闽南语,5.6,40759,3,E1,auto_recover,0,https://movie.douban.com/subject/25837175/
26425088,一切都好,2016,张猛,中国大陆,汉语普通话 / 天津话 / 英语 / 上海话 / 四川话,6.5,17373,3,E1,auto_recover,0,https://movie.douban.com/subject/26425088/
26769480,一路顺风,2016,钟孟宏,中国台湾,汉语普通话 / 闽南语 / 粤语 / 泰语,7.6,18213,3,E1,auto_recover,0,https://movie.douban.com/subject/26769480/
24751763,罗曼蒂克消亡史,2016,程耳,中国大陆 / 中国香港,汉语普通话 / 上海话 / 日语 / 英语,7.7,350867,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/24751763/
26984183,一个人的字幕,2017,熊仔侠,中国大陆,汉语普通话 / 粤语 / 顺德话,7.0,362,3,E1,auto_recover,0,https://movie.douban.com/subject/26984183/
26657126,不成问题的问题,2017,梅峰,中国大陆 / 法国,汉语普通话 / 北京话 / 重庆话 / 上海话,8.1,92254,3,E1,auto_recover,0,https://movie.douban.com/subject/26657126/
27073807,白鸟,2017,郭子豪,中国大陆,汉语普通话 / 哈萨克语,7.5,225,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/27073807/
27063423,考试,2017,宋金穗,中国大陆,汉语普通话 / 粤语,7.2,492,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/27063423/
27113517,血观音,2017,杨雅喆,中国台湾,汉语普通话 / 粤语 / 闽南语 / 日语,8.5,329884,3,E1,auto_recover,0,https://movie.douban.com/subject/27113517/
30272786,一条叫招财的鱼,2018,刘迪洋,中国大陆,汉语普通话 / 重庆方言 / 陕西方言,5.7,953,3,E1,auto_recover,0,https://movie.douban.com/subject/30272786/
30265411,十年台湾,2018,廖克发 / 谢沛如 / 吕柏勋 / 邹隆娜 / 勒嘎·舒米,中国台湾,汉语普通话 / 英语 / 闽南语 / 台湾原住民语言,4.9,401,3,E1,auto_recover,0,https://movie.douban.com/subject/30265411/
26972258,江湖儿女,2018,贾樟柯,中国大陆 / 法国 / 日本,汉语普通话 / 山西方言 / 湖北方言 / 重庆方言,7.6,262911,3,E1,gray_zone,1,https://movie.douban.com/subject/26972258/
27077266,米花之味,2018,鹏飞,中国大陆,汉语普通话 / 云南话 / 傣语,7.4,22908,3,E1,auto_recover,0,https://movie.douban.com/subject/27077266/
30295905,中国机长,2019,刘伟强,中国大陆,汉语普通话 / 藏语 / 英语 / 四川话,6.6,666974,3,E1,auto_recover,0,https://movie.douban.com/subject/30295905/
33451881,带妈妈出去玩,2019,隋淑芬,中国台湾,汉语普通话 / 闽南语 / 山东话,7.6,701,3,E1,auto_recover,0,https://movie.douban.com/subject/33451881/
34937949,拼车,2020,伊克拉木,中国大陆,汉语普通话 / 维吾尔语,6.7,269,3,E2+E3,auto_recover,0,https://movie.douban.com/subject/34937949/
2271640,天下第二,2007,白秋林,中国大陆,汉语普通话 / 日语 / 英语 / 陕西方言 / 四川方言,6.0,10282,2,E1+N2,gray_zone,0,https://movie.douban.com/subject/2271640/
4707225,不是闹着玩的,2010,卢卫国,中国大陆,普通话/国语 / 河南方言,7.3,5039,2,E3,gray_zone,0,https://movie.douban.com/subject/4707225/
3649049,金陵十三钗,2011,张艺谋,中国大陆 / 中国香港,汉语普通话 / 英语 / 日语 / 南京话 / 上海话,8.2,605483,2,E1+N2,gray_zone,0,https://movie.douban.com/subject/3649049/
26282530,再见，在也不见,2016,忻钰坤 / 陈世杰 / 西瓦罗·孔萨库,中国大陆 / 新加坡 / 泰国 / 中国台湾,汉语普通话 / 英语 / 泰语 / 粤语 / 闽南话,5.9,19633,2,E1+N2,gray_zone,0,https://movie.douban.com/subject/26282530/
1868567,南北一家亲,1962,王天林,中国香港,汉语普通话 / 粵語,7.7,419,1,E2,gray_zone,0,https://movie.douban.com/subject/1868567/
1424631,大李小李和老李,1962,谢晋,中国大陆,汉语普通话 / 沪语,8.1,6348,1,E2,gray_zone,0,https://movie.douban.com/subject/1424631/
1306870,猛龙过江,1972,李小龙,中国香港,汉语普通话 / 粤语 / 英语 / 意大利语,8.4,39134,1,E2,gray_zone,0,https://movie.douban.com/subject/1306870/
2353977,鬼马神偷,1982,魯俊谷,中国香港,汉语普通话 / 粤语 / 英语,5.8,115,1,E2,gray_zone,0,https://movie.douban.com/subject/2353977/
1298871,海滩的一天,1983,杨德昌,中国台湾,汉语普通话 / 闽南话 / 日语 / 德语,8.4,18810,1,E2,gray_zone,0,https://movie.douban.com/subject/1298871/
1299436,风柜来的人,1983,侯孝贤,中国台湾,汉语普通话 / 闽南语,8.4,37006,1,E2,gray_zone,0,https://movie.douban.com/subject/1299436/
1903720,五女拜寿,1984,陆建华 / 于中效,中国大陆,汉语普通话 / 吴越方言,9.0,2347,1,E2,gray_zone,0,https://movie.douban.com/subject/1903720/
1868857,大桥下面,1984,白沉,中国大陆,汉语普通话 / 上海话,7.9,3413,1,E2,gray_zone,0,https://movie.douban.com/subject/1868857/
1401754,老莫的第二个春天,1984,李佑宁,中国台湾,汉语普通话 / 闽南语,7.9,555,1,E2,gray_zone,0,https://movie.douban.com/subject/1401754/
1291876,黄土地,1984,陈凯歌,中国大陆,汉语普通话 / 陕西方言,7.9,29131,1,E2,gray_zone,0,https://movie.douban.com/subject/1291876/
26324974,钱，这东西......,1985,金淑琪,中国大陆,汉语普通话 / 维吾尔语,7.8,116,1,E2,gray_zone,0,https://movie.douban.com/subject/26324974/
1305261,恐怖分子,1986,杨德昌,中国台湾,汉语普通话 / 闽南语,8.9,42853,1,E2,gray_zone,0,https://movie.douban.com/subject/1305261/
1305085,盗马贼,1986,田壮壮,中国大陆,汉语普通话 / 藏语,7.3,5317,1,E2,gray_zone,0,https://movie.douban.com/subject/1305085/
1308553,桂花巷,1987,陈坤厚,中国台湾 / 中国香港,汉语普通话 / 台语,7.6,1306,1,E2,gray_zone,0,https://movie.douban.com/subject/1308553/
3224840,芳草碧连天,1987,蔡扬名,中国台湾,汉语普通话 / 闽南语,7.6,432,1,E2,gray_zone,0,https://movie.douban.com/subject/3224840/
3074682,大头仔,1988,蔡扬名,中国台湾,汉语普通话 / 闽南语,7.4,604,1,E2,gray_zone,0,https://movie.douban.com/subject/3074682/
3737125,报告典狱长,1988,朱延平,中国台湾,汉语普通话 / 闽南话,6.4,128,1,E2,gray_zone,0,https://movie.douban.com/subject/3737125/
3094278,驱魔童,1988,赵中兴,中国台湾,汉语普通话 / 粤语,7.1,1011,1,E2,gray_zone,0,https://movie.douban.com/subject/3094278/
1308228,鲁冰花,1989,杨立国,中国台湾,汉语普通话 / 闽南语,8.8,14545,1,E2,gray_zone,0,https://movie.douban.com/subject/1308228/
1306075,娃娃,1991,柯一正,中国台湾,汉语普通话 / 闽南语,8.7,739,1,E2,gray_zone,0,https://movie.douban.com/subject/1306075/
1302537,火烧岛,1991,朱延平,中国台湾,汉语普通话 / 粤语 / 英语 / 塔加路语,6.7,13525,1,E2,gray_zone,0,https://movie.douban.com/subject/1302537/
1307561,青少年哪吒,1992,蔡明亮,中国台湾,汉语普通话 / 台语,8.0,21128,1,E2,gray_zone,0,https://movie.douban.com/subject/1307561/
1304291,三个夏天,1993,刘国昌,中国香港 / 中国台湾,汉语普通话 / 闽南语,7.5,2939,1,E2,gray_zone,0,https://movie.douban.com/subject/1304291/
26732252,师生畸恋,1993,张绫育,中国台湾,汉语普通话 / 粤语,5.7,107,1,E2,gray_zone,0,https://movie.douban.com/subject/26732252/
1304476,独立时代,1994,杨德昌,中国台湾,汉语普通话 / 闽南话,8.8,31821,1,E2,gray_zone,0,https://movie.douban.com/subject/1304476/
1308729,我的美丽与哀愁,1995,陈国富,中国台湾,汉语普通话 / 台语,6.8,1662,1,E2,gray_zone,0,https://movie.douban.com/subject/1308729/
1302181,热带鱼,1995,陈玉勋,中国台湾,汉语普通话 / 闽南语,8.6,10927,1,E2,gray_zone,0,https://movie.douban.com/subject/1302181/
1303458,南国再见，南国,1996,侯孝贤,中国台湾,汉语普通话 / 闽南语,8.1,14705,1,E2,gray_zone,0,https://movie.douban.com/subject/1303458/
1464171,孔繁森,1996,陈国星 / 王坪,中国大陆,汉语普通话 / 藏语,6.5,2168,1,E2,gray_zone,0,https://movie.douban.com/subject/1464171/
1305146,一只鸟仔哮啾啾,1997,张志勇,中国台湾,汉语普通话 / 闽南语,8.7,1192,1,E2,gray_zone,0,https://movie.douban.com/subject/1305146/
1298203,国道封闭,1997,何平,中国台湾,汉语普通话 / Min Nan,7.8,170,1,E2,gray_zone,0,https://movie.douban.com/subject/1298203/
1316559,美丽在唱歌,1997,林正盛,中国台湾,汉语普通话 / 闽南语,6.7,2547,1,E2,gray_zone,0,https://movie.douban.com/subject/1316559/
1307707,一生一台戏,1998,方育平,中国大陆 / 中国香港,汉语普通话 / 闽南语,7.4,217,1,E2,gray_zone,0,https://movie.douban.com/subject/1307707/
1299227,魔法阿妈,1998,王小棣,中国台湾,汉语普通话 / 闽南语,8.9,6739,1,E2,gray_zone,0,https://movie.douban.com/subject/1299227/
1300678,没事偷着乐,1999,杨亚洲,中国大陆,汉语普通话 / 天津方言,7.8,34611,1,E2,gray_zone,0,https://movie.douban.com/subject/1300678/
1302384,赵先生,1999,吕乐,中国香港 / 中国大陆,汉语普通话 / 上海话,7.7,8525,1,E2,gray_zone,0,https://movie.douban.com/subject/1302384/
1301098,黑暗之光,1999,张作骥,中国台湾,汉语普通话 / 闽南语,8.0,2986,1,E2,gray_zone,0,https://movie.douban.com/subject/1301098/
1858095,一代天骄成吉思汗,2000,塞夫 / 麦丽丝,中国大陆,汉语普通话 / 蒙古语,6.6,522,1,E2,gray_zone,0,https://movie.douban.com/subject/1858095/
1298362,益西卓玛,2000,谢飞,中国大陆,汉语普通话 / 藏语,7.5,645,1,E2,gray_zone,0,https://movie.douban.com/subject/1298362/
1291850,站台,2000,贾樟柯,中国大陆 / 中国香港 / 日本 / 法国,汉语普通话 / 晋语,8.4,57825,1,E2,gray_zone,1,https://movie.douban.com/subject/1291850/
5382857,晓光,2001,钮承泽,中国台湾,汉语普通话 / 闽南语,7.4,298,1,E2,gray_zone,0,https://movie.douban.com/subject/5382857/
3189968,生命列车,2001,马晓勇,中国大陆,汉语普通话 / 河南话,6.0,135,1,E2,gray_zone,0,https://movie.douban.com/subject/3189968/
1305046,双瞳,2002,陈国富,中国香港 / 中国台湾,汉语普通话 / 台语 / 英语,7.7,105006,1,E2,gray_zone,0,https://movie.douban.com/subject/1305046/
2252377,咸豆浆,2002,王明台,中国台湾,汉语普通话 / 闽南语,6.6,396,1,E2,gray_zone,0,https://movie.douban.com/subject/2252377/
1915311,缘起,2002,甘露,中国大陆,汉语普通话 / 粤语,7.2,623,1,E2,gray_zone,0,https://movie.douban.com/subject/1915311/
1308587,向左走·向右走,2003,杜琪峰 / 韦家辉,中国香港 / 新加坡,汉语普通话 / 粤语 / 波兰语,6.9,110197,1,E2,gray_zone,0,https://movie.douban.com/subject/1308587/
2029107,心跳墨脱,2003,哈斯朝鲁,中国大陆,汉语普通话 / 藏语,7.2,193,1,E2,gray_zone,0,https://movie.douban.com/subject/2029107/
1457410,黑狗来了,2003,尹祺,中国台湾,汉语普通话 / 台语,7.4,714,1,E2,gray_zone,0,https://movie.douban.com/subject/1457410/
1915881,一百年的歌声,2004,陈骞 / 乔艳琳 / 班映旭 / 金光宇 / 周亚玉 / 门欣熙,中国大陆,汉语普通话 / 上海话,9.0,115,1,E2,gray_zone,0,https://movie.douban.com/subject/1915881/
900180,可可西里,2004,陆川 Chuan Lu,中国大陆 / 香港,汉语普通话 / 藏语,8.7,259686,1,E2,gray_zone,0,https://movie.douban.com/subject/1308857/
1999745,少林僵尸,2004,孔祥德,中国香港,汉语普通话 / 粤语 / 粤语,5.0,803,1,E2,gray_zone,0,https://movie.douban.com/subject/1999745/
1309087,世界,2005,贾樟柯,中国大陆 / 日本 / 法国,汉语普通话 / 晋语 / 俄语 / 英语,7.4,23440,1,E2,gray_zone,0,https://movie.douban.com/subject/1309087/
1418070,如果·爱,2005,陈可辛 / 赵良骏,中国大陆 / 中国香港 / 马来西亚,汉语普通话 / 粤语 / 英语,7.7,218742,1,E2,gray_zone,0,https://movie.douban.com/subject/1418070/
1309004,孔雀,2005,顾长卫,中国大陆,汉语普通话 / 晋语,8.1,117746,1,E2,gray_zone,0,https://movie.douban.com/subject/1309004/
1484900,季风中的马,2005,宁才,中国大陆,汉语普通话 / Mongolian,8.1,317,1,E2,gray_zone,0,https://movie.douban.com/subject/1484900/
1421809,最好的时光,2005,侯孝贤,中国台湾,汉语普通话 / 闽南语,7.6,90466,1,E2,gray_zone,0,https://movie.douban.com/subject/1421809/
1963953,月光下，我记得,2005,林正盛,中国台湾,汉语普通话 / 闽南语 / 日语,7.5,494,1,E2,gray_zone,0,https://movie.douban.com/subject/1963953/
1763100,深海,2005,郑文堂,中国台湾,汉语普通话 / 闽南语,7.0,1408,1,E2,gray_zone,0,https://movie.douban.com/subject/1763100/
3113757,爆肚张和老吉家,2005,施润玖,中国大陆,汉语普通话 / 北京话,7.6,400,1,E2,gray_zone,0,https://movie.douban.com/subject/3113757/
1424582,红颜,2005,李玉,中国大陆 / 法国,汉语普通话 / 四川话,7.9,11576,1,E2,gray_zone,0,https://movie.douban.com/subject/1424582/
1322851,青红,2005,王小帅,中国大陆,汉语普通话 / 上海话,7.1,48539,1,E2,gray_zone,0,https://movie.douban.com/subject/1322851/
3993255,香平丽,2005,蒋志,中国大陆,汉语普通话 / 粤语,6.9,133,1,E2,gray_zone,0,https://movie.douban.com/subject/3993255/
1761854,高三,2005,周浩,中国大陆,汉语普通话 / 福建方言,8.4,39418,1,E2,gray_zone,0,https://movie.douban.com/subject/1761854/
1459399,鲁迅,2005,丁荫楠,中国大陆,普通话 / 上海话 / 日语 / 英语,7.3,1689,1,E2,gray_zone,0,https://movie.douban.com/subject/1459399/
1790412,乡愁,2006,舒浩仑,中国,汉语普通话 / 上海话,7.4,432,1,E2,gray_zone,0,https://movie.douban.com/subject/1790412/
1926445,喜马拉雅王子,2006,胡雪桦,中国大陆,汉语普通话 / 藏语,5.5,590,1,E2,gray_zone,0,https://movie.douban.com/subject/1926445/
1947270,天狗,2006,戚健,中国大陆,汉语普通话 / 晋语,8.7,29247,1,E2,gray_zone,0,https://movie.douban.com/subject/1947270/
4860078,无间道(正序版),2006,刘伟强 / 麦兆辉,中国香港,汉语普通话 / 粤语 / 英语 / 泰语,9.1,49904,1,E2,gray_zone,0,https://movie.douban.com/subject/4860078/
900225,疯狂的石头,2006,宁浩 Hao Ning,中国大陆 / 香港,汉语普通话 / 重庆话,8.3,702896,1,E2,gray_zone,1,https://movie.douban.com/subject/1862151/
1986783,芒种,2006,张律,中国大陆 / 韩国,汉语普通话 / 朝鲜语,7.2,577,1,E2,gray_zone,0,https://movie.douban.com/subject/1986783/
1302795,茉莉花开,2006,侯咏,中国大陆,汉语普通话 / 上海话,7.3,53101,1,E2,gray_zone,0,https://movie.douban.com/subject/1302795/
1485319,赖小子,2006,韩杰,中国,汉语普通话 / 晋语,7.4,2597,1,E2,gray_zone,0,https://movie.douban.com/subject/1485319/
1888671,鸡犬不宁,2006,陈大明,中国大陆,汉语普通话 / 河南话,6.7,9152,1,E2,gray_zone,1,https://movie.douban.com/subject/1888671/
2038365,十三棵泡桐,2007,吕乐,中国大陆,汉语普通话 / 四川话,7.1,21049,1,E2,gray_zone,0,https://movie.douban.com/subject/2038365/
3773977,卡到了！,2007,林宏杰,中国台湾,汉语普通话 / 闽南语,6.2,137,1,E2,gray_zone,0,https://movie.douban.com/subject/3773977/
2153250,夜·明,2007,赵崇基,中国大陆/马来西亚,汉语普通话 / 粤语 / 日语 / 英语,7.2,293,1,E2,gray_zone,0,https://movie.douban.com/subject/2153250/
2148295,奇迹世界,2007,宁浩,中国大陆,汉语普通话 / 天津话,7.7,9355,1,E2,gray_zone,0,https://movie.douban.com/subject/2148295/
3113423,我最后的秘密,2007,黎小锋 / 贾恺,中国大陆,汉语普通话 / 吴语,7.7,963,1,E2,gray_zone,0,https://movie.douban.com/subject/3113423/
2230890,无用,2007,贾樟柯,中国大陆 / 中国香港,汉语普通话 / 粤语 / 英语 / 法语,7.2,6197,1,E2,gray_zone,0,https://movie.douban.com/subject/2230890/
3999733,白领日志,2007,卞正乾,中国大陆,汉语普通话 / 上海话,8.4,113,1,E2,gray_zone,0,https://movie.douban.com/subject/3999733/
2055017,练习曲,2007,陈怀恩,中国台湾,汉语普通话 / 闽南语 / 立陶宛语,8.0,52417,1,E2,gray_zone,0,https://movie.douban.com/subject/2055017/
2338323,请将我遗忘,2007,谢鸣晓,中国大陆,汉语普通话 / 四川话,6.0,1231,1,E2,gray_zone,0,https://movie.douban.com/subject/2338323/
3024212,阿妹的诺言,2007,丁黑,中国大陆,汉语普通话 / 陕西话,7.2,124,1,E2,gray_zone,0,https://movie.douban.com/subject/3024212/
3032884,风雪狼道,2007,高峰,中国大陆,汉语普通话 / 西北方言,6.6,457,1,E2,gray_zone,0,https://movie.douban.com/subject/3032884/
3017916,马大夫的诊所,2007,丛峰,中国大陆,汉语普通话 / 甘肃方言,7.7,390,1,E2,gray_zone,0,https://movie.douban.com/subject/3017916/
3056430,马戏学校,2007,郭静 / 柯丁丁,中国大陆,汉语普通话 / 上海话,8.2,702,1,E2,gray_zone,0,https://movie.douban.com/subject/3056430/
3003092,冈拉梅朵,2008,戴玮,中国大陆,汉语普通话 / 藏语,6.3,1544,1,E2,gray_zone,0,https://movie.douban.com/subject/3003092/
2256043,千钧。一发,2008,高群书,中国大陆,汉语普通话 / 东北话,8.0,2399,1,E2,gray_zone,0,https://movie.douban.com/subject/2256043/
3075903,好猫,2008,应亮,中国大陆,汉语普通话 / 自贡方言,7.5,276,1,E2,gray_zone,0,https://movie.douban.com/subject/3075903/
